director_name,actor_1_name,actor_2_name,actor_3_name,movie_title,genres
Uwe Boll,Jason Statham,Mike Dopud,Tania Saulnier,in the name of the king: a dungeon siege tale,Action|Adventure|Fantasy|Thriller
Martin Campbell,Angelina Jolie Pitt,Teri Polo,Noah Emmerich,beyond borders,Adventure|Drama|Romance|War
Pou-Soi Cheang,Li Gong,Aaron Kwok,Eddie Peng,xi you ji zhi: sun wukong san da baigu jing,Action|Adventure|Fantasy
John Dahl,James Franco,Clayne Crawford,Paolo Montalban,the great raid,Action|Drama|War
Tim Miller,Ryan Reynolds,Ed Skrein,Stefan Kapicic,deadpool,Action|Adventure|Comedy|Romance|Sci-Fi
Stephen Herek,Kelly Preston,Morgan Fairchild,Eric McCormack,holy man,Comedy|Drama
Clint Eastwood,Bradley Cooper,Leonard Roberts,Keir O'Donnell,american sniper,Action|Biography|Drama|History|Thriller|War
Rob Letterman,Odeya Rush,Dylan Minnette,Ken Marino,goosebumps,Adventure|Comedy|Family|Fantasy|Horror
unknown,Nate Richert,Soleil Moon Frye,Caroline Rhea,"sabrina, the teenage witch            ",Comedy|Family|Fantasy
Mark Waters,Jon Heder,Ivana Milicevic,Willie Garson,just like heaven,Comedy|Fantasy|Romance
Brian Levant,Taylor Negron,Mark Addy,Danny Woodburn,the flintstones in viva rock vegas,Comedy|Family|Romance|Sci-Fi
Peter MacDonald,Sylvester Stallone,Kurtwood Smith,Richard Crenna,rambo iii,Action|Adventure|Thriller|War
George Clooney,Robert Baker,Malcolm Goodwin,Matt Bushell,leatherheads,Comedy|Drama|Romance|Sport
Frank Coraci,Taylor Lautner,Adam Sandler,Jon Lovitz,the ridiculous 6,Comedy|Western
Marc Lawrence,Michael Kelly,Kim Shaw,Kevin Brown,did you hear about the morgans?,Comedy|Drama|Romance
Shawn Levy,Josh Gad,Jessica Szohr,Rob Riggle,the internship,Comedy
Paul W.S. Anderson,Milla Jovovich,Boris Kodjoe,Shawn Roberts,resident evil: afterlife,Action|Adventure|Horror|Sci-Fi
Anthony Hemingway,David Oyelowo,Nate Parker,Tristan Mack Wilds,red tails,Action|Adventure|Drama|History|War
unknown,Chris Noth,Kristin Davis,Cynthia Nixon,sex and the city            ,Comedy|Romance
Taylor Hackford,Keanu Reeves,Al Pacino,Charlize Theron,the devil's advocate,Drama|Mystery|Thriller
Sean Anders,Adam Sandler,Leighton Meester,Will Forte,that's my boy,Comedy
Rob Cohen,Dennis Quaid,Brian Thompson,Terry O'Neill,dragonheart,Action|Adventure|Fantasy
Brett Ratner,Salma Hayek,Don Cheadle,Chris Penn,after the sunset,Action|Comedy|Crime|Drama
Mark Neveldine,Nicolas Cage,Spencer Wilding,Christopher Lambert,ghost rider: spirit of vengeance,Action|Fantasy|Thriller
John Madden,Christian Bale,Irene Papas,Mihalis Giannatos,captain corelli's mandolin,Drama|Music|Romance|War
unknown,Barry Corbin,Noureen DeWulf,Brian Austin Green,anger management            ,Comedy|Romance
Adam Shankman,Vin Diesel,Brad Garrett,Tate Donovan,the pacifier,Action|Comedy|Drama|Family|Thriller
Kevin Bray,Dwayne Johnson,Ashley Scott,Michael Bowen,walking tall,Action|Crime
Robert Zemeckis,Tom Hanks,Siobhan Fallon Hogan,Sam Anderson,forrest gump,Comedy|Drama
Tim Hill,Jesse McCartney,Beth Riesgraf,Matthew Gray Gubler,alvin and the chipmunks,Animation|Comedy|Family|Fantasy|Music
Jay Roach,Robert De Niro,Blythe Danner,Teri Polo,meet the parents,Comedy
Mike Gabriel,Christian Bale,Frank Welker,Irene Bedard,pocahontas,Adventure|Animation|Drama|Family|History|Musical|Romance
Richard Donner,Marlon Brando,Margot Kidder,Ned Beatty,superman,Action|Adventure|Drama|Romance|Sci-Fi
Tom Shadyac,Jada Pinkett Smith,James Coburn,Dave Chappelle,the nutty professor,Comedy|Romance|Sci-Fi
Andy Tennant,Will Smith,Michael Rapaport,Kevin Sussman,hitch,Comedy|Romance
Sam Weisman,Brendan Fraser,Abraham Benrubi,Holland Taylor,george of the jungle,Action|Adventure|Comedy|Family|Romance
Jesse Dylan,Alyson Hannigan,Thomas Ian Nicholas,Fred Willard,american wedding,Comedy|Romance
Paul Greengrass,Tom Hanks,Chris Mulkey,Michael Chernus,captain phillips,Biography|Drama|Thriller
Shawn Levy,Mila Kunis,James Franco,Steve Carell,date night,Comedy|Crime|Romance|Thriller
Brad Silberling,Eric Idle,Fred Rogers,Cathy Moriarty,casper,Comedy|Family|Fantasy
Antoine Fuqua,Denzel Washington,Chloë Grace Moretz,James Wilcox,the equalizer,Action|Crime|Thriller
Wayne Wang,Bob Hoskins,Frances Conroy,Natasha Richardson,maid in manhattan,Comedy|Drama|Romance
Tony Scott,Denzel Washington,Viggo Mortensen,Ricky Schroder,crimson tide,Action|Drama|Thriller|War
Gabriele Muccino,Will Smith,Kurt Fuller,James Karen,the pursuit of happyness,Biography|Drama
Robert Schwentke,Erika Christensen,Michael Irby,Haley Ramm,flightplan,Drama|Mystery|Thriller
Barry Levinson,Demi Moore,Dylan Baker,Roma Maffia,disclosure,Drama|Thriller
Brad Silberling,Nicolas Cage,Andre Braugher,Colm Feore,city of angels,Drama|Fantasy|Romance
Quentin Tarantino,David Carradine,Vivica A. Fox,Chiaki Kuriyama,kill bill: vol. 1,Action
Frank Oz,Robert Downey Jr.,Adam Alexi-Malle,Jamie Kennedy,bowfinger,Comedy
unknown,Christopher Judge,Don S. Davis,Gary Jones,stargate sg-1            ,Action|Adventure|Drama|Sci-Fi
Quentin Tarantino,Vivica A. Fox,Michael Parks,Michael Bowen,kill bill: vol. 2,Action|Crime|Drama|Thriller
Andrey Konchalovskiy,Sylvester Stallone,Jack Palance,Brion James,tango & cash,Action|Comedy|Crime|Thriller
Robert Zemeckis,Bruce Willis,Meryl Streep,Isabella Rossellini,death becomes her,Comedy|Fantasy|Horror
Tom Dey,Xander Berkeley,Jason Connery,Kate Luyben,shanghai noon,Action|Adventure|Comedy|Western
Stuart Baird,Oliver Platt,Joe Morton,J.T. Walsh,executive decision,Action|Adventure|Thriller
Mark Waters,Madeline Carroll,Ophelia Lovibond,Philip Baker Hall,mr. popper's penguins,Comedy|Family|Fantasy
Rob Minkoff,Jet Li,Thomas McDonell,Michael Angarano,the forbidden kingdom,Action|Adventure|Fantasy
Jimmy Hayward,Amy Poehler,Carlos Ponce,Dan Fogler,free birds,Adventure|Animation|Comedy|Family
David Fincher,Charles S. Dutton,Holt McCallany,Paul McGann,alien 3,Action|Horror|Sci-Fi
Alan Parker,Andrea Corr,Jimmy Nail,Peter Polycarpou,evita,Biography|Drama|History|Musical
John Frankenheimer,Robert De Niro,Natascha McElhone,Michael Lonsdale,ronin,Action|Adventure|Crime|Thriller
Stephen Hopkins,Tom Wilkinson,Bernard Hill,Om Puri,the ghost and the darkness,Adventure|Drama|Horror|Thriller
Paul King,Julie Walters,Matt Lucas,Sally Hawkins,paddington,Animation|Comedy|Family|Fantasy
Akiva Schaffer,Will Forte,Nicholas Braun,Rosemarie DeWitt,the watch,Action|Comedy|Sci-Fi
William Friedkin,Connie Nielsen,Jenna Boyd,Rex Linn,the hunted,Action|Crime|Drama|Thriller
Jon Turteltaub,Anthony Hopkins,Maura Tierney,John Ashton,instinct,Drama|Thriller
Bobby Farrelly,Matt Damon,Terence Bernie Hines,Seymour Cassel,stuck on you,Comedy
Kent Alterman,Will Ferrell,Maura Tierney,Matt Walsh,semi-pro,Comedy|Sport
Peter Lord,Salma Hayek,Russell Tovey,Brian Blessed,the pirates! band of misfits,Adventure|Animation|Comedy|Family
Clint Eastwood,Angelina Jolie Pitt,Michael Kelly,Colm Feore,changeling,Crime|Drama|Mystery|Thriller
Andrew Davis,Keanu Reeves,Morgan Freeman,Kevin Dunn,chain reaction,Action|Drama|Sci-Fi|Thriller
Tony Scott,Robert De Niro,Kurt Fuller,Ellen Barkin,the fan,Action|Drama|Sport|Thriller
Joel Schumacher,Gerard Butler,Minnie Driver,Miranda Richardson,the phantom of the opera,Drama|Musical|Romance|Thriller
Shekhar Kapur,Eddie Redmayne,Abbie Cornish,Jordi Mollà,elizabeth: the golden age,Biography|Drama|History|War
Karyn Kusama,Charlize Theron,Sophie Okonedo,Paterson Joseph,æon flux,Action|Sci-Fi
Ron Maxwell,Billy Campbell,Bruce Boxleitner,John Castle,gods and generals,Drama|History|War
Robert Butler,Hector Elizondo,Lauren Holly,Jeffrey DeMunn,turbulence,Action|Thriller
Karey Kirkpatrick,Stephen Root,Ronny Cox,Richard Schiff,imagine that,Comedy|Drama|Family|Fantasy
James Bobin,Ty Burrell,Tina Fey,Hugh Bonneville,muppets most wanted,Adventure|Comedy|Crime|Family|Musical
Jonathan Frakes,Sophia Myles,Philip Winchester,Brady Corbet,thunderbirds,Action|Adventure|Comedy|Family|Sci-Fi
Steve Antin,Eric Dane,Peter Gallagher,David Walton,burlesque,Drama|Music|Musical|Romance
Jean-Pierre Jeunet,Denis Lavant,André Dussollier,Albert Dupontel,a very long engagement,Drama|Mystery|Romance|War
Stanley Kubrick,James Mason,Shelley Winters,Lois Maxwell,lolita,Crime|Drama|Romance
Jim Gillespie,Sylvester Stallone,Tom Berenger,Charles S. Dutton,eye see you,Crime|Horror|Mystery|Thriller
Guillermo del Toro,Norman Reedus,Thomas Kretschmann,Tony Curran,blade ii,Action|Horror|Sci-Fi|Thriller
Gabriele Muccino,Will Smith,Rosario Dawson,Madison Pettis,seven pounds,Drama|Romance
Walter Hill,Sylvester Stallone,Jason Momoa,Jon Seda,bullet to the head,Action|Thriller
Francis Ford Coppola,Al Pacino,Joe Mantegna,Bridget Fonda,the godfather: part iii,Crime|Drama
Cameron Crowe,Orlando Bloom,Kirsten Dunst,Judy Greer,elizabethtown,Comedy|Drama|Romance
Anthony Russo,Todd Stashwick,Billy Gardell,Amanda Detmer,"you, me and dupree",Comedy|Romance
Richard Lester,Margot Kidder,Ned Beatty,Jackie Cooper,superman ii,Action|Adventure|Romance|Sci-Fi
Martin Brest,Todd Giebenhain,Lenny Venito,David Backus,gigli,Comedy|Crime|Romance
Steven Zaillian,Kate Winslet,Anthony Hopkins,Kevin Dunn,all the king's men,Drama|Thriller
John Singleton,Christian Bale,Vanessa Williams,Daniel von Bargen,shaft,Action|Crime|Thriller
Don Bluth,Kirsten Dunst,Kelsey Grammer,Bernadette Peters,anastasia,Adventure|Animation|Drama|Family|Fantasy|Musical|Mystery|Romance
Baz Luhrmann,Jim Broadbent,Kylie Minogue,Richard Roxburgh,moulin rouge!,Drama|Musical|Romance
Harold Becker,Steve Buscemi,Teri Polo,Matt O'Leary,domestic disturbance,Crime|Mystery|Thriller
Scott Cooper,Johnny Depp,Benedict Cumberbatch,Adam Scott,black mass,Biography|Crime|Drama
Clint Eastwood,Paul Walker,Chris Bauer,Tom McCarthy,flags of our fathers,Drama|History|War
F. Gary Gray,Gerard Butler,Leslie Bibb,Michael Kelly,law abiding citizen,Crime|Drama|Thriller
Robert Rodriguez,Quentin Tarantino,Rosario Dawson,Zoë Bell,grindhouse,Action|Horror|Thriller
Jonathan Demme,Oprah Winfrey,Kimberly Elise,Hill Harper,beloved,Drama|History|Horror
Curtis Hanson,Robert Downey Jr.,Robert Duvall,Kelvin Han Yee,lucky you,Drama|Romance|Sport
Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Jennifer Garner,catch me if you can,Biography|Crime|Drama
Kathryn Bigelow,Jennifer Ehle,Harold Perrineau,Parker Sawyers,zero dark thirty,Drama|History|Thriller
Peyton Reed,Jon Favreau,John Michael Higgins,Ann-Margret,the break-up,Comedy|Drama|Romance
Phyllida Lloyd,Colin Firth,Meryl Streep,Julie Walters,mamma mia!,Comedy|Family|Musical|Romance
Garry Marshall,Bradley Cooper,Taylor Lautner,Anne Hathaway,valentine's day,Comedy|Romance
Jay Chandrasekhar,Alice Greczyn,Jessica Simpson,Michael Weston,the dukes of hazzard,Action|Adventure|Comedy
Terrence Malick,Nick Stahl,Miranda Otto,Dash Mihok,the thin red line,Drama|War
David Dobkin,Ryan Reynolds,Olivia Wilde,Mircea Monroe,the change-up,Comedy|Fantasy
Milos Forman,Matt Price,Gerry Becker,Tom Dreesen,man on the moon,Biography|Comedy|Drama
Martin Scorsese,Robert De Niro,Don Rickles,Kevin Pollak,casino,Biography|Crime|Drama
Pierre Morel,Kasia Smutniak,Amber Rose Revah,Rebecca Dayan,from paris with love,Action|Thriller
Paul Hunter,Jaime King,Mako,Victoria Smurfit,bulletproof monk,Action|Comedy|Fantasy
Bobby Farrelly,Robert Forster,Tony Cox,Rob Moran,"me, myself & irene",Comedy
Steve Oedekerk,Rob Paulsen,Wanda Sykes,Maurice LaMarche,barnyard,Animation|Comedy|Family
John Whitesell,Matthew Broderick,Jorge Garcia,Alia Shawkat,deck the halls,Comedy|Family
Chris Weitz,Robert Pattinson,Kristen Stewart,Taylor Lautner,the twilight saga: new moon,Adventure|Drama|Fantasy|Romance
Andrew Adamson,Kathleen Freeman,Chris Miller,Bobby Block,shrek,Adventure|Animation|Comedy|Family|Fantasy
George Nolfi,Matt Damon,Michael Kelly,Jon Stewart,the adjustment bureau,Romance|Sci-Fi|Thriller
Kevin Reynolds,Alan Rickman,Morgan Freeman,Michael Wincott,robin hood: prince of thieves,Action|Adventure|Drama|Romance
Cameron Crowe,Tom Cruise,Kelly Preston,Bonnie Hunt,jerry maguire,Comedy|Drama|Romance|Sport
Seth MacFarlane,Mila Kunis,Seth MacFarlane,Tom Skerritt,ted,Comedy|Fantasy
James L. Brooks,Lupe Ontiveros,Yeardley Smith,Shirley Knight,as good as it gets,Comedy|Drama|Romance
Tom Shadyac,Robin Williams,Philip Seymour Hoffman,Monica Potter,patch adams,Biography|Comedy|Drama|Romance
Adam McKay,Harrison Ford,Will Ferrell,Steve Carell,anchorman 2: the legend continues,Comedy
Steven Brill,Steve Buscemi,Adam Sandler,Peter Gallagher,mr. deeds,Comedy|Romance
J.J. Abrams,Joel Courtney,AJ Michalka,Zach Mills,super 8,Mystery|Sci-Fi|Thriller
Steven Soderbergh,Julia Roberts,Albert Finney,Conchata Ferrell,erin brockovich,Biography|Drama
Donald Petrie,Matthew McConaughey,Adam Goldberg,Thomas Lennon,how to lose a guy in 10 days,Comedy|Romance
Phil Lord,Channing Tatum,Craig Roberts,Amber Stevens West,22 jump street,Action|Comedy|Crime
Neil Jordan,Brad Pitt,Tom Cruise,Kirsten Dunst,interview with the vampire: the vampire chronicles,Drama|Fantasy|Horror
Peyton Reed,Bradley Cooper,Zooey Deschanel,Danny Masterson,yes man,Comedy|Romance
Rawson Marshall Thurber,Dwayne Johnson,Thomas Kretschmann,Megan Park,central intelligence,Action|Comedy|Crime
Chris Columbus,Julia Roberts,Liam Aiken,Herbert Russell,stepmom,Comedy|Drama
Sean Anders,Will Ferrell,Linda Cardellini,Mark L. Young,daddy's home,Comedy|Family
Rob Marshall,Johnny Depp,Meryl Streep,Anna Kendrick,into the woods,Adventure|Comedy|Drama|Fantasy|Musical
Spike Lee,Denzel Washington,James Ransone,Peter Gerety,inside man,Crime|Drama|Mystery|Thriller
Brian Helgeland,Bill Duke,Deborah Kara Unger,William Devane,payback,Action|Crime|Drama|Thriller
Frank Marshall,Dylan Walsh,Joe Don Baker,Grant Heslov,congo,Action|Adventure|Mystery|Sci-Fi
Cameron Crowe,Scarlett Johansson,Matt Damon,Stephanie Szostak,we bought a zoo,Comedy|Drama|Family
Alex Proyas,Nicolas Cage,Ben Mendelsohn,Chandler Canterbury,knowing,Drama|Mystery|Sci-Fi|Thriller
Tom Dey,Bradley Cooper,Matthew McConaughey,Zooey Deschanel,failure to launch,Comedy|Romance
Hideo Nakata,Naomi Watts,Gary Cole,Sissy Spacek,the ring two,Horror|Mystery
Glenn Ficarra,Ryan Gosling,Emma Stone,Steve Carell,"crazy, stupid, love.",Comedy|Drama|Romance
Peter Hewitt,Bill Murray,Mark Christopher Lawrence,Michael Monks,garfield,Animation|Comedy|Family|Fantasy
Joe Roth,Jamie Lee Curtis,Cheech Marin,Jake Busey,christmas with the kranks,Comedy|Family
Bennett Miller,Philip Seymour Hoffman,Robin Wright,Brad Pitt,moneyball,Biography|Drama|Sport
Wolfgang Petersen,Kevin Spacey,Morgan Freeman,Rene Russo,outbreak,Action|Drama|Thriller
Jaume Collet-Serra,Liam Neeson,Nate Parker,Scoot McNairy,non-stop,Action|Mystery|Thriller
Andy Fickman,Dwayne Johnson,Billy Brown,Tom Everett Scott,race to witch mountain,Action|Adventure|Family|Fantasy|Sci-Fi|Thriller
James McTeigue,Natalie Portman,Eddie Marsan,Rupert Graves,v for vendetta,Action|Drama|Thriller
David Dobkin,Fann Wong,Anna-Louise Plowman,Georgina Chapman,shanghai knights,Action|Adventure|Comedy
unknown,Bernard Hill,Gemma Jones,Nicola Walker,unforgotten            ,Crime|Drama
Matthew O'Callaghan,Will Ferrell,Frank Welker,Alexander Gould,curious george,Adventure|Animation|Comedy|Family
Angela Robinson,Scoot McNairy,Thomas Lennon,Cheryl Hines,herbie fully loaded,Adventure|Comedy|Family|Fantasy|Romance|Sport
Gary Fleder,Oliver Platt,Jennifer Esposito,Conrad Goode,don't say a word,Crime|Drama|Mystery|Thriller
Tommy Wirkola,Jeremy Renner,Derek Mears,Ingrid Bolsø Berdal,hansel & gretel: witch hunters,Action|Fantasy|Horror
Adrian Lyne,Olivier Martinez,Erik Per Sullivan,Chad Lowe,unfaithful,Drama|Thriller
D.J. Caruso,Alex Pettyfer,Emily Wickersham,Reuben Langdon,i am number four,Action|Adventure|Sci-Fi|Thriller
Stephen Gaghan,Matt Damon,Amr Waked,Kayvan Novak,syriana,Drama|Thriller
Michael Bay,Toby Stephens,James Badge Dale,David Costabile,13 hours,Action|Drama|Thriller|War
Jorge R. Gutiérrez,Channing Tatum,Hector Elizondo,Ana de la Reguera,the book of life,Adventure|Animation|Comedy|Family|Fantasy|Romance
Richard Loncraine,Jimmy Bennett,Harrison Ford,Mary Lynn Rajskub,firewall,Crime|Thriller
Clint Eastwood,Clint Eastwood,Mark Margolis,Scott Glenn,absolute power,Action|Crime|Drama|Thriller
Ridley Scott,Viggo Mortensen,Demi Moore,John Michael Higgins,g.i. jane,Action|Drama|War
David Fincher,Deborah Kara Unger,Armin Mueller-Stahl,Charles Martinet,the game,Drama|Mystery|Thriller
Christophe Gans,Radha Mitchell,Deborah Kara Unger,Alice Krige,silent hill,Adventure|Horror|Mystery
Howard Deutch,Keanu Reeves,Jon Favreau,Faizon Love,the replacements,Comedy|Sport
Jon Hurwitz,Alyson Hannigan,Dania Ramirez,Natasha Lyonne,american reunion,Comedy
F. Gary Gray,Kevin Spacey,Michael Cudlitz,Siobhan Fallon Hogan,the negotiator,Action|Crime|Drama|Mystery|Thriller
Steven Quale,Matt Walsh,Alycia Debnam-Carey,Scott Lawrence,into the storm,Action|Thriller
John Landis,Louis Lombardi,Jon Tenney,Gilbert R. Hill,beverly hills cop iii,Action|Comedy|Crime|Thriller
Joe Dante,Christopher Lee,Robert Picardo,Phoebe Cates,gremlins 2: the new batch,Comedy|Fantasy|Horror
David Dobkin,Robert Downey Jr.,Robert Duvall,Leighton Meester,the judge,Crime|Drama
Mimi Leder,Armin Mueller-Stahl,Holt McCallany,Marcel Iures,the peacemaker,Action|Thriller
Alexander Witt,Milla Jovovich,Thomas Kretschmann,Mike Epps,resident evil: apocalypse,Action|Horror|Sci-Fi|Thriller
Beeban Kidron,Colin Firth,Jim Broadbent,Celia Imrie,bridget jones: the edge of reason,Comedy|Drama|Romance
Carl Franklin,Denzel Washington,Sanaa Lathan,John Billingsley,out of time,Crime|Drama|Romance|Thriller
Steven Seagal,Mike Starr,Joan Chen,Sven-Ole Thorsen,on deadly ground,Action|Adventure|Thriller
Robert Rodriguez,Taylor Lautner,Kristin Davis,Taylor Dooley,the adventures of sharkboy and lavagirl 3-d,Action|Adventure|Family|Fantasy
Danny Boyle,Leonardo DiCaprio,Virginie Ledoyen,Peter Youngblood Hills,the beach,Adventure|Drama|Thriller
Garry Marshall,Amber Valletta,Felicity Huffman,Spencer Breslin,raising helen,Comedy|Drama|Romance
James McTeigue,Shô Kosugi,Ben Miles,Rain,ninja assassin,Action|Crime|Thriller
Sam Raimi,J.K. Simmons,Kelly Preston,Carmine Giovinazzo,for love of the game,Drama|Romance|Sport
unknown,David Jason,Bruce Alexander,John Lyons,a touch of frost            ,Crime|Drama|Mystery
Andrew Bergman,Demi Moore,Rumer Willis,Paul Guilfoyle,striptease,Comedy|Crime|Drama|Thriller
Tom Dey,Emma Stone,Judy Greer,Steve Coogan,marmaduke,Comedy|Family
Clint Eastwood,Matt Damon,Jay Mohr,Cécile De France,hereafter,Drama|Fantasy
Barbet Schroeder,Ryan Gosling,Chris Penn,Agnes Bruckner,murder by numbers,Crime|Mystery|Thriller
Richard Donner,Muse Watson,Sylvester Stallone,Kelly Rowan,assassins,Action|Crime|Thriller
Peter Webber,Li Gong,Stephen Walters,Richard Brake,hannibal rising,Crime|Drama|Thriller
Rob Reiner,Bruce Willis,Tim Matheson,Rita Wilson,the story of us,Comedy|Drama|Romance
Andrew Niccol,J.D. Evermore,Chandler Canterbury,Rachel Roberts,the host,Action|Adventure|Romance|Sci-Fi|Thriller
John McTiernan,Connie Nielsen,Harry Connick Jr.,Tim Daly,basic,Action|Crime|Drama|Mystery|Thriller
Clint Eastwood,Clint Eastwood,Anjelica Huston,Rick Hoffman,blood work,Action|Crime|Drama|Mystery|Thriller
Tom Tykwer,Naomi Watts,Brían F. O'Byrne,Armin Mueller-Stahl,the international,Action|Crime|Drama|Mystery|Thriller
John Carpenter,Steve Buscemi,Valeria Golino,Michelle Forbes,escape from l.a.,Action|Adventure|Sci-Fi|Thriller
unknown,Grey Damon,Brittany Curran,Aaron Hill,twisted            ,Drama|Mystery|Thriller
Brad Bird,Vin Diesel,Harry Connick Jr.,M. Emmet Walsh,the iron giant,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi
Wes Anderson,Bill Murray,Anjelica Huston,Matthew Gray Gubler,the life aquatic with steve zissou,Adventure|Comedy|Drama
Gary Ross,Matthew McConaughey,Donald Watkins,Jessica Collins,free state of jones,Action|Biography|Drama|History|War
Alan Parker,Kevin Spacey,Kate Winslet,Matt Craven,the life of david gale,Crime|Drama|Thriller
Stephen Herek,Christina Milian,Vanessa Ferlito,Kelli Garner,man of the house,Action|Comedy
Jaume Collet-Serra,Liam Neeson,Common,Bruce McGill,run all night,Action|Crime|Drama|Thriller
David Cronenberg,Viggo Mortensen,Naomi Watts,Raza Jaffrey,eastern promises,Crime|Mystery|Thriller
John Stockwell,Paul Walker,James Frain,Ashley Scott,into the blue,Action|Adventure|Crime|Thriller
Luc Besson,Paul Brooke,David Bailie,Rab Affleck,the messenger: the story of joan of arc,Adventure|Biography|Drama|History|War
David Gordon Green,Natalie Portman,Zooey Deschanel,James Franco,your highness,Adventure|Comedy|Fantasy
Jim Sheridan,Naomi Watts,Gregory Smith,Sarah Gadon,dream house,Drama|Mystery|Thriller
Costa-Gavras,Mia Kirshner,Blythe Danner,William Atherton,mad city,Crime|Drama|Thriller
Patrick Read Johnson,Joe Mantegna,Lara Flynn Boyle,Cynthia Nixon,baby's day out,Adventure|Comedy|Crime|Drama|Family
Roland Joffé,Gary Oldman,Robert Duvall,Demi Moore,the scarlet letter,Drama|Romance
Doug Liman,Naomi Watts,Ty Burrell,Brooke Smith,fair game,Biography|Drama|Thriller
unknown,Julie Benz,Tony Curran,Grant Bowler,defiance            ,Action|Drama|Sci-Fi
Tony Scott,Ian Ziering,Mo'Nique,Edgar Ramírez,domino,Action|Biography|Crime|Drama|Thriller
William Friedkin,Michael Biehn,Chazz Palminteri,Linda Fiorentino,jade,Crime|Drama|Thriller
Mark Neveldine,Gerard Butler,Logan Lerman,Alison Lohman,gamer,Action|Sci-Fi|Thriller
Richard LaGravenese,Alden Ehrenreich,Zoey Deutch,Pruitt Taylor Vince,beautiful creatures,Drama|Fantasy|Romance
Danny DeVito,Robin Williams,Vincent Schiavelli,Danny Woodburn,death to smoochy,Comedy|Crime|Drama|Thriller
Ben Stiller,Milla Jovovich,Will Ferrell,Justin Theroux,zoolander 2,Comedy
George Armitage,Morgan Freeman,Andrew Wilson,Willie Nelson,the big bounce,Comedy|Crime
Mike Nichols,Judy Greer,Linda Fiorentino,Garry Shandling,what planet are you from?,Comedy|Sci-Fi
Patrick Lussier,Nicolas Cage,Billy Burke,Katy Mixon,drive angry,Action|Fantasy|Thriller
Andrzej Bartkowiak,Chris Klein,Robin Shou,Josie Ho,street fighter: the legend of chun-li,Action|Crime|Drama|Mystery|Thriller
James Wong,Jason Statham,Jet Li,Delroy Lindo,the one,Action|Sci-Fi|Thriller
unknown,Tobias Menzies,Graham McTavish,Stephen Walters,outlander            ,Drama|Romance|Sci-Fi
Renny Harlin,Lauren Holly,Gilbert Gottfried,David Patrick Kelly,the adventures of ford fairlane,Action|Adventure|Comedy|Crime|Music|Mystery
Richard Curtis,Philip Seymour Hoffman,Charlie Rowe,Tom Sturridge,pirate radio,Comedy|Drama|Music
Steven Soderbergh,Michael O'Neill,Jacob Vargas,James Lew,traffic,Crime|Drama|Thriller
Steven Spielberg,Harrison Ford,Julian Glover,Alison Doody,indiana jones and the last crusade,Action|Adventure|Fantasy
Joe Wright,Kelly Macdonald,Guro Nagelhus Schia,Matthew Macfadyen,anna karenina,Drama|Romance
Neill Blomkamp,Hugh Jackman,Sharlto Copley,Jose Pablo Cantillo,chappie,Action|Crime|Drama|Sci-Fi|Thriller
Phillip Noyce,Denzel Washington,Angelina Jolie Pitt,Leland Orser,the bone collector,Crime|Drama|Mystery|Thriller
David Fincher,Kristen Stewart,Dwight Yoakam,Mel Rodriguez,panic room,Crime|Drama|Thriller
Chuck Bowman,P.J. Soles,Lochlyn Munro,Steve Bacic,the tooth fairy,Horror|Thriller
David O. Russell,Judy Greer,Jamie Kennedy,Mykelti Williamson,three kings,Action|Adventure|Comedy|Drama|War
Daniel Espinosa,Tom Hardy,Fares Fares,Michael Nardone,child 44,Crime|Drama|Thriller
Jerry Zucker,Corinna Harney,Douglas Haase,Vince Vieluf,rat race,Adventure|Comedy
Iain Softley,Kevin Spacey,Jeff Bridges,Alfre Woodard,k-pax,Drama|Mystery|Sci-Fi
James Mangold,Hugh Jackman,Natasha Lyonne,Bradley Whitford,kate & leopold,Comedy|Fantasy|Romance
Harold Ramis,Brendan Fraser,Frances O'Connor,Brian Doyle-Murray,bedazzled,Comedy|Fantasy|Romance
Francis Ford Coppola,Nicolas Cage,Bob Hoskins,Fred Gwynne,the cotton club,Crime|Drama|Music
James Mangold,Christian Bale,Logan Lerman,Gretchen Mol,3:10 to yuma,Adventure|Crime|Drama|Western
Olivier Megaton,Liam Neeson,Dougray Scott,Jon Gries,taken 3,Action|Thriller
Steven Soderbergh,Don Cheadle,Albert Brooks,Keith Hudson,out of sight,Crime|Drama|Romance|Thriller
Ben Stiller,Matthew Broderick,Janeane Garofalo,Andy Dick,the cable guy,Comedy|Drama|Thriller
Deepa Mehta,Nandita Das,Gulshan Grover,Eric Peterson,earth,Drama|Romance|War
Warren Beatty,Charlie Korsmo,Warren Beatty,Seymour Cassel,dick tracy,Action|Comedy|Crime|Music|Romance|Thriller
John McTiernan,Mark Margolis,Faye Dunaway,Denis Leary,the thomas crown affair,Crime|Romance|Thriller
Penny Marshall,Rosie Perez,Adam Garcia,Alissa Dean,riding in cars with boys,Biography|Comedy|Drama
Ted Kotcheff,Sylvester Stallone,Brian Dennehy,Chris Mulkey,first blood,Action|Adventure|Drama
Andrei Tarkovsky,Donatas Banionis,Anatoliy Solonitsyn,Natalya Bondarchuk,solaris,Drama|Mystery|Sci-Fi
